# t(s), cv(%), R($), iR($), C($), iC($), d
0.000,75.000,0.670,0.670,45322498.655,771.605,0.000
1.000,75.000,1.357,1.357,771.605,771.605,0.000
2.000,75.000,0.592,0.592,771.605,771.605,0.000
3.000,75.000,0.524,0.524,771.605,771.605,0.000
4.000,75.000,0.942,0.942,771.605,771.605,0.000
5.000,75.000,2.913,2.913,771.605,771.605,0.000
6.000,75.000,0.560,0.560,771.605,771.605,0.000
7.000,75.000,0.491,0.491,771.605,771.605,0.000
8.000,75.000,2.652,2.652,771.605,771.605,0.000
9.000,75.000,0.996,0.996,771.605,771.605,0.000
10.000,75.000,0.397,0.397,771.605,771.605,0.000
11.000,75.000,0.840,0.840,771.605,771.605,0.000
12.000,75.000,1.490,1.490,771.605,771.605,0.000
13.000,75.000,0.587,0.587,771.605,771.605,0.000
14.000,75.000,0.334,0.334,771.605,771.605,0.000
15.000,75.000,1.561,1.561,771.605,771.605,0.000
16.000,75.000,1.490,1.490,771.605,771.605,0.000
17.000,75.000,0.719,0.719,771.605,771.605,0.000
18.000,75.000,0.385,0.385,771.605,771.605,0.000
19.000,75.000,1.178,1.178,771.605,771.605,0.000
20.000,75.000,1.959,1.959,771.605,771.605,0.000
21.000,75.000,0.389,0.389,771.605,771.605,0.000
22.000,75.000,0.939,0.939,771.605,771.605,0.000
23.000,75.000,1.759,1.759,771.605,771.605,0.000
24.000,75.000,0.682,0.682,771.605,771.605,0.000
25.000,75.000,0.352,0.352,771.605,771.605,0.000
26.000,75.000,1.519,1.519,771.605,771.605,0.000
27.000,75.000,1.724,1.724,771.605,771.605,0.000
28.000,75.000,0.337,0.337,771.605,771.605,0.000
29.000,75.000,0.455,0.455,771.605,771.605,0.000
30.000,75.000,2.169,2.169,771.605,771.605,0.000
31.000,75.000,0.870,0.870,771.605,771.605,0.000
32.000,75.000,0.378,0.378,771.605,771.605,0.000
33.000,75.000,4.182,4.182,771.605,771.605,0.000
34.000,75.000,1.469,1.469,771.605,771.605,0.000
35.000,75.000,0.770,0.770,771.605,771.605,0.000
36.000,75.000,0.409,0.409,771.605,771.605,0.000
37.000,75.000,1.017,1.017,771.605,771.605,0.000
38.000,75.000,1.226,1.226,771.605,771.605,0.000
39.000,75.000,0.669,0.669,771.605,771.605,0.000
40.000,75.000,0.396,0.396,771.605,771.605,0.000
41.000,75.000,1.598,1.598,771.605,771.605,0.000
42.000,75.000,0.960,0.960,771.605,771.605,0.000
43.000,75.000,0.394,0.394,771.605,771.605,0.000
44.000,75.000,1.090,1.090,771.605,771.605,0.000
45.000,75.000,1.629,1.629,771.605,771.605,0.000
46.000,75.000,1.864,1.864,771.605,771.605,0.000
47.000,75.000,0.579,0.579,771.605,771.605,0.000
48.000,75.000,1.312,1.312,771.605,771.605,0.000
49.000,75.000,2.772,2.772,771.605,771.605,0.000
50.000,75.000,0.284,0.284,771.605,771.605,0.000
51.000,75.000,1.045,1.045,771.605,771.605,0.000
52.000,75.000,1.537,1.537,771.605,771.605,0.000
