# t(s), cv(%), R(US$), iR(US$), C(US$), iC(US$), d
0.000,75.000,66.980,66.980,45322498.655,771.605,0.000
100.000,75.000,202.392,202.392,45323270.260,1543.210,0.000
200.000,75.000,261.365,261.365,45324041.865,2314.815,0.000
300.000,75.000,313.467,313.467,45324813.470,3086.420,0.000
400.000,75.000,406.980,406.980,45325585.075,3858.025,0.000
500.000,75.000,695.599,695.599,45326356.680,4629.630,0.000
600.000,75.000,750.991,750.991,45327128.285,5401.235,0.000
700.000,75.000,799.472,799.472,45327899.890,6172.840,0.000
800.000,75.000,1060.710,1060.710,45328671.495,6944.444,0.000
900.000,75.000,1158.667,1158.667,45329443.100,7716.049,0.000
1000.000,75.000,1197.648,1197.648,45330214.705,8487.654,0.000
1100.000,75.000,1279.910,1279.910,45330986.309,9259.259,0.000
1200.000,75.000,1425.635,1425.635,45331757.914,10030.864,0.000
1300.000,75.000,1482.935,1482.935,45332529.519,10802.469,0.000
1400.000,75.000,1515.460,1515.460,45333301.124,11574.074,0.000
1500.000,75.000,1667.211,1667.211,45334072.729,12345.679,0.000
1600.000,75.000,1811.820,1811.820,45334844.334,13117.284,0.000
1700.000,75.000,1881.479,1881.479,45335615.939,13888.889,0.000
1800.000,75.000,1918.689,1918.689,45336387.544,14660.494,0.000
1900.000,75.000,2032.388,2032.388,45337159.149,15432.099,0.000
2000.000,75.000,2221.104,2221.104,45337930.754,16203.704,0.000
2100.000,75.000,2258.506,2258.506,45338702.359,16975.309,0.000
2200.000,75.000,2348.627,2348.627,45339473.964,17746.914,0.000
2300.000,75.000,2517.177,2517.177,45340245.569,18518.519,0.000
2400.000,75.000,2582.427,2582.427,45341017.174,19290.123,0.000
2500.000,75.000,2616.033,2616.033,45341788.779,20061.728,0.000
2600.000,75.000,2760.798,2760.798,45342560.384,20833.333,0.000
2700.000,75.000,2924.829,2924.829,45343331.989,21604.938,0.000
2800.000,75.000,2956.861,2956.861,45344103.593,22376.543,0.000
2900.000,75.000,2999.982,2999.982,45344875.198,23148.148,0.000
3000.000,75.000,3205.197,3205.197,45345646.803,23919.753,0.000
3100.000,75.000,3287.345,3287.345,45346418.408,24691.358,0.000
3200.000,75.000,3322.992,3322.992,45347190.013,25462.963,0.000
3300.000,75.000,3716.518,3716.518,45347961.618,26234.568,0.000
3400.000,75.000,3854.470,3854.470,45348733.223,27006.173,0.000
3500.000,75.000,3926.686,3926.686,45349504.828,27777.778,0.000
3600.000,75.000,3964.982,3964.982,45350276.433,28549.383,0.000
3700.000,75.000,4060.012,4060.012,45351048.038,29320.988,0.000
3800.000,75.000,4174.301,4174.301,45351819.643,30092.593,0.000
3900.000,75.000,4236.594,4236.594,45352591.248,30864.198,0.000
4000.000,75.000,4273.367,4273.367,45353362.853,31635.802,0.000
4100.000,75.000,4421.558,4421.558,45354134.458,32407.407,0.000
4200.000,75.000,4510.458,4510.458,45354906.063,33179.012,0.000
4300.000,75.000,4546.921,4546.921,45355677.668,33950.617,0.000
