t(s), cv(%), R($), iR($), C($), iC($), d
0,62.7,14.844,14.916,45322372.11,771.605,16.4
1,62.7,41.735,42.622,45323017.17,1543.21,16.4
2,62.7,58.568,59.547,45323662.24,2314.815,16.4
3,62.7,67.457,69.187,45324307.3,3086.42,16.4
4,62.7,92.483,95.293,45324952.36,3858.025,16.4
5,62.7,117.166,120.35,45325597.42,4629.63,16.4
6,62.55,129.952,133.816,45326240.94,5401.235,16.6
7,62.55,141.357,145.491,45326884.46,6172.84,16.6
8,62.55,164.939,170.27,45327527.98,6944.444,16.6
9,62.55,187.19,193.158,45328171.5,7716.049,16.6
10,62.55,193.707,200.093,45328815.01,8487.654,16.6
11,62.55,213.275,221.851,45329458.53,9259.259,16.6
12,62.55,238.196,247.554,45330102.05,10030.864,16.6
13,62.55,250.163,260.803,45330745.57,10802.469,16.6
14,62.55,257.975,271.615,45331389.09,11574.074,16.6
15,62.55,280.986,295.655,45332032.61,12345.679,16.6
16,62.55,303.599,319.495,45332676.12,13117.284,16.6
17,62.55,318.047,334.3,45333319.64,13888.889,16.6
18,62.55,328.85,345.649,45333963.16,14660.494,16.6
19,62.55,352.038,369.281,45334606.68,15432.099,16.6
20,62.55,371.594,390.504,45335250.2,16203.704,16.6
21,62.55,380.811,400.813,45335893.72,16975.309,16.6
22,62.55,398.222,418.805,45336537.24,17746.914,16.6
23,62.55,424.918,446.341,45337180.75,18518.519,16.6
24,62.55,441.14,463.584,45337824.27,19290.123,16.6
25,62.55,449.755,473.941,45338467.79,20061.728,16.6
26,62.55,476.447,502.342,45339111.31,20833.333,16.6
27,62.55,500.645,528.396,45339754.83,21604.938,16.6
28,62.55,513.877,541.96,45340398.35,22376.543,16.6
29,62.55,525.985,554.221,45341041.87,23148.148,16.6
30,62.55,551.427,580.251,45341685.38,23919.753,16.6
31,62.55,572.321,603.1,45342328.9,24691.358,16.6
32,62.55,581.345,612.552,45342972.42,25462.963,16.6
33,62.55,603.835,635.344,45343615.94,26234.568,16.6
34,62.55,632.004,664.034,45344259.46,27006.173,16.6
35,62.55,645.443,678.234,45344902.98,27777.778,16.6
36,62.55,655.908,689.49,45345546.5,28549.383,16.6
37,62.55,680.311,714.584,45346190.01,29320.988,16.6
38,62.55,703.295,737.966,45346833.53,30092.593,16.6
39,62.55,718.089,752.934,45347477.05,30864.198,16.6
40,62.55,729.992,764.933,45348120.57,31635.802,16.6
41,62.55,752.037,787.267,45348764.09,32407.407,16.6
42,62.55,771.925,807.508,45349407.61,33179.012,16.6
43,62.55,781.722,818.07,45350051.12,33950.617,16.6
44,62.55,801.186,837.889,45350694.64,34722.222,16.6
45,62.475,829.492,866.807,45351337.39,35493.827,16.7
46,62.475,846.758,884.257,45351980.14,36265.432,16.7
47,62.475,858.452,896.162,45352622.88,37037.037,16.7
48,62.475,886.764,925.694,45353265.63,37808.642,16.7
49,62.475,912.87,951.941,45353908.38,38580.247,16.7
50,62.475,924.035,963.155,45354551.12,39351.852,16.7
51,62.475,939.628,979.16,45355193.87,40123.457,16.7
52,62.475,964.463,1005.764,45355836.62,40895.062,16.7
53,62.475,985.877,1028.822,45356479.37,41666.667,16.7
54,62.475,995.592,1038.643,45357122.11,42438.272,16.7
55,62.475,1021.323,1064.52,45357764.86,43209.877,16.7
56,62.475,1050.713,1094.688,45358407.61,43981.481,16.7
57,62.475,1062.274,1107.36,45359050.35,44753.086,16.7
58,62.475,1074.334,1119.504,45359693.1,45524.691,16.7
59,62.475,1101.895,1148.07,45360335.85,46296.296,16.7
60,62.475,1124.888,1171.787,45360978.59,47067.901,16.7
61,62.475,1137.474,1184.884,45361621.34,47839.506,16.7
62,62.475,1151.07,1198.987,45362264.09,48611.111,16.7
63,62.475,1173.233,1222.086,45362906.83,49382.716,16.7
64,62.475,1192.178,1242.037,45363549.58,50154.321,16.7
65,62.475,1203.29,1253.563,45364192.33,50925.926,16.7
66,62.475,1224.847,1275.395,45364835.08,51697.531,16.7
67,62.475,1254.037,1305.577,45365477.82,52469.136,16.7
68,62.475,1271.318,1323.164,45366120.57,53240.741,16.7
69,62.475,1283.891,1336.04,45366763.32,54012.346,16.7
70,62.475,1313.757,1366.841,45367406.06,54783.951,16.7
71,62.4,1337.533,1390.925,45368048.04,55555.556,16.8
72,62.4,1348.493,1402.389,45368690.01,56327.16,16.8
73,62.4,1364.763,1423.878,45369331.99,57098.765,16.8
74,62.4,1391.919,1451.194,45369973.96,57870.37,16.8
75,62.4,1410.689,1471.539,45370615.94,58641.975,16.8
76,62.4,1419.474,1482.826,45371257.91,59413.58,16.8
77,62.4,1446.154,1510.016,45371899.89,60185.185,16.8
78,62.4,1475.472,1542.124,45372541.87,60956.79,16.8
79,62.4,1487.308,1554.1,45373183.84,61728.395,16.8
80,62.4,1499.228,1566.662,45373825.82,62500,16.8
81,62.4,1526.976,1594.827,45374467.79,63271.605,16.8
82,62.4,1545.797,1617.817,45375109.77,64043.21,16.8
83,62.4,1552.546,1625.284,45375751.74,64814.815,16.8
84,62.4,1571.484,1645.571,45376393.72,65586.42,16.8
85,62.4,1594.623,1669.04,45377035.69,66358.025,16.8
86,62.4,1612.375,1689.292,45377677.67,67129.63,16.8
87,62.4,1621.494,1699.056,45378319.64,67901.235,16.8
88,62.4,1643.608,1723.043,45378961.62,68672.84,16.8
89,62.4,1673.768,1754.566,45379603.59,69444.444,16.8
90,62.4,1691.228,1772.321,45380245.57,70216.049,16.8
91,62.4,1704.547,1786.027,45380887.54,70987.654,16.8
92,62.4,1736.482,1818.532,45381529.52,71759.259,16.8
93,62.4,1758.859,1842.105,45382171.5,72530.864,16.8
94,62.4,1771.021,1854.846,45382813.47,73302.469,16.8
95,62.4,1795.309,1879.484,45383455.45,74074.074,16.8
96,62.4,1822.804,1907.514,45384097.42,74845.679,16.8
97,62.4,1842.053,1927.922,45384739.4,75617.284,16.8
98,62.4,1853.327,1940.082,45385381.37,76388.889,16.8
99,62.4,1881.185,1968.92,45386023.35,77160.494,16.8
100,62.4,1913.941,2002.033,45386665.32,77932.099,16.8
101,62.4,1925.874,2014.329,45387307.3,78703.704,16.8
102,62.4,1938.728,2027.256,45387949.27,79475.309,16.8
103,62.4,1969.405,2058.357,45388591.25,80246.914,16.8
104,62.4,1989.191,2078.544,45389233.22,81018.519,16.8
105,62.4,1997.102,2086.717,45389875.2,81790.123,16.8
106,62.4,2023.212,2113.378,45390517.17,82561.728,16.8
107,62.4,2047.496,2137.941,45391159.15,83333.333,16.8
108,62.4,2065.172,2156.141,45391801.12,84104.938,16.8
109,62.4,2076.212,2167.539,45392443.1,84876.543,16.8
110,62.4,2100.373,2192.744,45393085.08,85648.148,16.8
111,62.4,2133.438,2226.149,45393727.05,86419.753,16.8
112,62.4,2150.407,2243.206,45394369.03,87191.358,16.8
113,62.4,2164.34,2257.578,45395011,87962.963,16.8
114,62.4,2197.405,2291.612,45395652.98,88734.568,16.8
115,62.4,2220.812,2315.069,45396294.95,89506.173,16.8
116,62.4,2233.476,2327.88,45396936.93,90277.778,16.8
117,62.4,2262.286,2357.712,45397578.9,91049.383,16.8
118,62.4,2291.2,2386.854,45398220.88,91820.988,16.8
119,62.4,2310.81,2407.112,45398862.85,92592.593,16.8
120,62.4,2323.332,2419.778,45399504.83,93364.198,16.8
121,62.4,2353.031,2450.037,45400146.8,94135.802,16.8
122,62.4,2387,2484.441,45400788.78,94907.407,16.8
123,62.4,2398.158,2496.672,45401430.75,95679.012,16.8
124,62.4,2410.839,2509.68,45402072.73,96450.617,16.8
125,62.4,2442.384,2542.625,45402714.71,97222.222,16.8
126,62.4,2460.709,2561.844,45403356.68,97993.827,16.8
